Fecha;Hora;Etiqueta;Matriz_ESVAL_m3;Estanque_Inferior_m3;Dif_Matriz_menos_Inferior_m3
2026-09-22;16:00;22/16;3,31;1,20;2,11
2026-09-22;17:00;22/17;11,88;11,58;0,30
2026-09-22;18:00;22/18;9,13;6,74;2,39
2026-09-22;19:00;22/19;3,43;1,87;1,56
2026-09-22;20:00;22/20;0,25;0,00;0,25
2026-09-22;21:00;22/21;0,22;0,00;0,22
2026-09-22;22:00;22/22;2,64;4,03;-1,39
2026-09-22;23:00;22/23;16,99;14,93;2,06
2026-09-23;00:00;23/00;2,81;0,00;2,81
2026-09-23;01:00;23/01;0,54;0,00;0,54
2026-09-23;02:00;23/02;16,64;16,94;-0,30
2026-09-23;03:00;23/03;14,79;12,47;2,32
2026-09-23;04:00;23/04;0,29;0,00;0,29
2026-09-23;05:00;23/05;12,67;13,21;-0,54
2026-09-23;06:00;23/06;6,87;5,10;1,77
2026-09-23;07:00;23/07;1,00;0,00;1,00
2026-09-23;08:00;23/08;0,65;0,00;0,65
2026-09-23;09:00;23/09;12,11;12,85;-0,74
2026-09-23;10:00;23/10;8,13;5,88;2,25
2026-09-23;11:00;23/11;0,60;0,00;0,60
2026-09-23;12:00;23/12;18,79;17,81;0,98
2026-09-23;13:00;23/13;13,02;10,70;2,32
2026-09-23;14:00;23/14;0,50;0,26;0,24
2026-09-23;15:00;23/15;17,53;15,23;2,30
2026-09-23;16:00;23/16;0,62;0,00;0,62
TOTAL;;;175,41;150,80;24,61
